genes,Entry,Entry Name,Protein,Gene,Organism,Status,GO-Biological process,Biological process,Molecular function,Ligand
TRNAG-UCC,,,,,,,,,,
ROBO1,A6QNM7,UBP33_BOVIN,Ubiquitin carboxyl-terminal hydrolase 33,USP33,Bos taurus (Bovine),Reviewed,axon guidance cell migration cellular response to starvation centrosome duplication endocytosis negative regulation of protein binding positive regulation of protein binding protein deubiquitination protein K48-linked deubiquitination protein K63-linked deubiquitination protein stabilization regulation of autophagy regulation of G protein-coupled receptor signaling pathway ubiquitin-dependent protein catabolic process,"Endocytosis, Ubl conjugation pathway","Hydrolase, Protease, Thiol protease","Metal-binding, Zinc"
TRNAC-GCA,,,,,,,,,,
TRNAC-ACA,,,,,,,,,,
MIR2286,,,,,,,,,,
LOC101910021,,,,,,,,,,
LOC112447295,,,,,,,,,,
CD47,A0A4W2F3U1,A0A4W2F3U1_BOBOX,Ubiquitin carboxyl-terminal hydrolase 33,USP33,Bos taurus (Bovine),Reviewed,axon guidance cell migration cellular response to starvation centrosome duplication endocytosis negative regulation of protein binding positive regulation of protein binding protein deubiquitination protein K48-linked deubiquitination protein K63-linked deubiquitination protein stabilization regulation of autophagy regulation of G protein-coupled receptor signaling pathway ubiquitin-dependent protein catabolic process,"Endocytosis, Ubl conjugation pathway","Hydrolase, Protease, Thiol protease","Metal-binding, Zinc"
IFT57,Q5EA95,IFT57_BOVIN,Intraflagellar transport protein 57 homolog,IFT57,Bos taurus (Bovine),Reviewed,activation of cysteine-type endopeptidase activity involved in apoptotic process apoptotic process intraciliary transport Gaudet P. non-motile cilium assembly Gaudet P. regulation of apoptotic process,"Apoptosis, Transcription, Transcription regulation",DNA-binding,
HHLA2,E1BCC8,E1BCC8_BOVIN,Intraflagellar transport protein 57 homolog,IFT57,Bos taurus (Bovine),Reviewed,activation of cysteine-type endopeptidase activity involved in apoptotic process apoptotic process intraciliary transport Gaudet P. non-motile cilium assembly Gaudet P. regulation of apoptotic process,"Apoptosis, Transcription, Transcription regulation",DNA-binding,
MYH15,A0A3Q1LHR1,A0A3Q1LHR1_BOVIN,Intraflagellar transport protein 57 homolog,IFT57,Bos taurus (Bovine),Reviewed,activation of cysteine-type endopeptidase activity involved in apoptotic process apoptotic process intraciliary transport Gaudet P. non-motile cilium assembly Gaudet P. regulation of apoptotic process,"Apoptosis, Transcription, Transcription regulation",DNA-binding,
CIP2A,Q2HJ27,MYC_BOVIN,Myc proto-oncogene protein,MYC,Bos taurus (Bovine),Reviewed,"activation of cysteine-type endopeptidase activity involved in apoptotic process cellular iron ion homeostasis cellular response to DNA damage stimulus chromatin remodeling chromosome organization intrinsic apoptotic signaling pathway MAPK cascade negative regulation of apoptotic process negative regulation of cell division negative regulation of monocyte differentiation negative regulation of stress-activated MAPK cascade positive regulation of cell population proliferation positive regulation of cysteine-type endopeptidase activity involved in apoptotic process positive regulation of DNA biosynthetic process positive regulation of epithelial cell proliferation positive regulation of fibroblast proliferation positive regulation of response to DNA damage stimulus positive regulation of transcription, DNA-templated positive regulation of transcription by RNA polymerase II regulation of apoptotic process regulation of somatic stem cell population maintenance regulation of telomere maintenance regulation of transcription, DNA-templated regulation of transcription by RNA polymerase II Gaudet P. response to drug response to gamma radiation response to radiation","Transcription, Transcription regulation","Activator, DNA-binding",
DZIP3,F6RVN5,F6RVN5_BOVIN,Myc proto-oncogene protein,MYC,Bos taurus (Bovine),Reviewed,"activation of cysteine-type endopeptidase activity involved in apoptotic process cellular iron ion homeostasis cellular response to DNA damage stimulus chromatin remodeling chromosome organization intrinsic apoptotic signaling pathway MAPK cascade negative regulation of apoptotic process negative regulation of cell division negative regulation of monocyte differentiation negative regulation of stress-activated MAPK cascade positive regulation of cell population proliferation positive regulation of cysteine-type endopeptidase activity involved in apoptotic process positive regulation of DNA biosynthetic process positive regulation of epithelial cell proliferation positive regulation of fibroblast proliferation positive regulation of response to DNA damage stimulus positive regulation of transcription, DNA-templated positive regulation of transcription by RNA polymerase II regulation of apoptotic process regulation of somatic stem cell population maintenance regulation of telomere maintenance regulation of transcription, DNA-templated regulation of transcription by RNA polymerase II Gaudet P. response to drug response to gamma radiation response to radiation","Transcription, Transcription regulation","Activator, DNA-binding",
TRAT1,P23727,P85A_BOVIN,Phosphatidylinositol 3-kinase regulatory subunit alpha,PIK3R1,Bos taurus (Bovine),Reviewed,cellular glucose homeostasis cellular response to insulin stimulus growth hormone receptor signaling pathway insulin-like growth factor receptor signaling pathway insulin receptor signaling pathway Hara K. negative regulation of apoptotic process phosphatidylinositol 3-kinase signaling Weiger M.C. phosphatidylinositol phosphorylation Hiles I.D. positive regulation of endoplasmic reticulum unfolded protein response positive regulation of glucose import Hara K. positive regulation of protein import into nucleus positive regulation of protein localization to plasma membrane Hara K. positive regulation of RNA splicing positive regulation of transcription by RNA polymerase II protein stabilization protein transport regulation of phosphatidylinositol 3-kinase activity Hiles I.D. response to endoplasmic reticulum stress substrate adhesion-dependent cell spreading Weiger M.C.,"Protein transport, Stress response, Transport",,
MORC1,A0A4W2HUI0,A0A4W2HUI0_BOBOX,Phosphatidylinositol 3-kinase regulatory subunit alpha,PIK3R1,Bos taurus (Bovine),Reviewed,cellular glucose homeostasis cellular response to insulin stimulus growth hormone receptor signaling pathway insulin-like growth factor receptor signaling pathway insulin receptor signaling pathway Hara K. negative regulation of apoptotic process phosphatidylinositol 3-kinase signaling Weiger M.C. phosphatidylinositol phosphorylation Hiles I.D. positive regulation of endoplasmic reticulum unfolded protein response positive regulation of glucose import Hara K. positive regulation of protein import into nucleus positive regulation of protein localization to plasma membrane Hara K. positive regulation of RNA splicing positive regulation of transcription by RNA polymerase II protein stabilization protein transport regulation of phosphatidylinositol 3-kinase activity Hiles I.D. response to endoplasmic reticulum stress substrate adhesion-dependent cell spreading Weiger M.C.,"Protein transport, Stress response, Transport",,
C1H3orf85,,,,,,,,,,
LOC112448290,,,,,,,,,,
LOC101903052,,,,,,,,,,
DPPA2,F1MQI2,F1MQI2_BOVIN,Phosphatidylinositol 3-kinase regulatory subunit alpha,PIK3R1,Bos taurus (Bovine),Reviewed,cellular glucose homeostasis cellular response to insulin stimulus growth hormone receptor signaling pathway insulin-like growth factor receptor signaling pathway insulin receptor signaling pathway Hara K. negative regulation of apoptotic process phosphatidylinositol 3-kinase signaling Weiger M.C. phosphatidylinositol phosphorylation Hiles I.D. positive regulation of endoplasmic reticulum unfolded protein response positive regulation of glucose import Hara K. positive regulation of protein import into nucleus positive regulation of protein localization to plasma membrane Hara K. positive regulation of RNA splicing positive regulation of transcription by RNA polymerase II protein stabilization protein transport regulation of phosphatidylinositol 3-kinase activity Hiles I.D. response to endoplasmic reticulum stress substrate adhesion-dependent cell spreading Weiger M.C.,"Protein transport, Stress response, Transport",,
DPPA4,Q2YDF9,PCGF1_BOVIN,Polycomb group RING finger protein 1,PCGF1,Bos taurus (Bovine),Reviewed,histone H2A-K119 monoubiquitination,"Transcription, Transcription regulation",Repressor,"Metal-binding, Zinc"
LOC100337136,,,,,,,,,,
LOC783844,,,,,,,,,,
